Date,Open,High,Low,Close,AdjClose,Vol
5-Oct-20,33.46,35.27,33.46,35.12,35.11,"9,126,400"
2-Oct-20,30.27,32.88,30.02,32.45,32.45,"16,678,600"
1-Oct-20,31.15,32.03,30.39,31.99,31.99,"12,599,900"
30-Sep-20,30.61,31.88,29.78,30.6,30.6,"15,113,700"
29-Sep-20,30.63,30.86,29.47,30.3,30.3,"14,650,700"
28-Sep-20,29.72,30.94,29.63,30.75,30.75,"12,404,200"
25-Sep-20,26.91,28.83,26.84,28.59,28.59,"11,538,000"
24-Sep-20,27.25,28.65,26.14,27.28,27.28,"17,468,500"
23-Sep-20,29.89,30.5,27.21,27.27,27.27,"14,438,800"
22-Sep-20,29.71,30.07,28.47,29.93,29.93,"12,200,600"
21-Sep-20,30.49,30.73,28.25,29.29,29.29,"22,497,400"
18-Sep-20,33.11,33.94,31.31,32.66,32.66,"12,844,700"
17-Sep-20,32.27,33.4,31.68,32.95,32.94,"12,537,600"
16-Sep-20,33.22,34.97,33.04,33.7,33.69,"8,251,800"
15-Sep-20,33.36,33.59,32.42,32.74,32.74,"7,912,300"
14-Sep-20,31.07,32.76,30.92,32.53,32.53,"8,412,900"
11-Sep-20,31.3,31.37,29.29,30.2,30.2,"11,676,500"
10-Sep-20,32.5,33.15,30.75,30.8,30.8,"12,940,900"
9-Sep-20,31.63,32.45,31.12,32.02,32.02,"9,604,800"
8-Sep-20,31.5,32.34,30.14,30.67,30.67,"13,816,600"
4-Sep-20,34.33,34.53,30.26,32.53,32.53,"16,518,100"
3-Sep-20,36.16,36.28,32.62,33.23,33.22,"19,057,500"
2-Sep-20,36.01,36.75,34.89,36.39,36.38,"10,235,600"
1-Sep-20,34.3,35.62,33.73,35.54,35.53,"9,346,800"
31-Aug-20,35.57,35.7,34.3,34.32,34.31,"11,405,300"
28-Aug-20,35.2,35.57,34.6,35.51,35.5,"10,810,600"
27-Aug-20,34.86,35.44,33.9,34.64,34.63,"15,702,900"
26-Aug-20,35.13,35.32,34.27,34.37,34.36,"12,019,400"
25-Aug-20,35.36,35.41,34.01,35.07,35.06,"14,788,400"
24-Aug-20,34.71,34.98,33.72,34.93,34.92,"13,187,200"
21-Aug-20,34.26,34.59,33.23,33.91,33.9,"14,286,100"
20-Aug-20,34.03,35.15,33.87,34.64,34.63,"8,794,800"
19-Aug-20,35.51,36.2,34.97,35.11,35.1,"10,115,200"
18-Aug-20,36.09,36.12,34.65,35.08,35.07,"11,661,300"
17-Aug-20,35.89,36.22,35.36,36.11,36.1,"6,888,400"
14-Aug-20,35.05,36.03,34.76,35.57,35.56,"11,508,500"
13-Aug-20,35.53,36.56,35.3,35.66,35.65,"11,636,700"
12-Aug-20,36.65,36.8,35.2,35.9,35.89,"18,405,700"
11-Aug-20,37.13,37.48,34.96,35.46,35.45,"17,941,900"
10-Aug-20,35.34,36.77,35.33,36.12,36.11,"18,303,800"
7-Aug-20,33.18,35.04,33.02,34.98,34.97,"20,079,600"
6-Aug-20,33.47,33.87,32.88,33.4,33.39,"14,833,100"
5-Aug-20,32.5,33.5,32.19,33.4,33.39,"13,481,700"
4-Aug-20,30.73,31.66,30.49,31.54,31.54,"16,712,700"
3-Aug-20,30.01,31.05,29.41,30.98,30.98,"15,494,200"
31-Jul-20,30.01,30.15,27.86,29.51,29.51,"24,661,700"
30-Jul-20,29.39,30.57,28.88,30.4,30.4,"15,355,900"
29-Jul-20,29.35,30.77,29.32,30.68,30.68,"12,056,400"
28-Jul-20,29.4,29.96,28.78,28.85,28.85,"13,780,000"
27-Jul-20,28.91,29.76,28.42,29.69,29.69,"16,560,300"
24-Jul-20,29.56,29.79,28.5,28.77,28.77,"21,252,800"
23-Jul-20,29.98,31.33,29.17,30.19,30.19,"26,589,600"
22-Jul-20,29.43,30.39,29.41,30.05,30.05,"15,480,600"
21-Jul-20,29.69,30.67,29.5,30,30,"24,206,400"
20-Jul-20,28.95,29.33,28.31,28.75,28.75,"19,148,400"
17-Jul-20,29.19,29.75,28.54,29.14,29.14,"19,582,800"
16-Jul-20,28.89,29.21,28.15,28.88,28.88,"24,007,600"
15-Jul-20,28.49,29.85,28.17,29.41,29.41,"31,124,100"
14-Jul-20,25.21,26.57,24.79,26.51,26.51,"29,287,100"
